# lavaan TESTsuite -- lavaan version  0.6-17 
# date:  Tue Jan 16 18:03:59 2024 
# file:  ex4.1part2.out 

    lhs op rhs group        type    lav    mpl  delta
268  f2 =~ y10     1 est.std.all  0.005  0.006 -0.001
269  f2 =~ y11     1 est.std.all  0.011  0.013 -0.002
270  f2 =~ y12     1 est.std.all -0.038 -0.036 -0.002
271  f3 =~  y1     1 est.std.all  0.080  0.074  0.006
272  f3 =~  y2     1 est.std.all  0.003 -0.005  0.008
273  f3 =~  y3     1 est.std.all -0.053 -0.058  0.005
274  f3 =~  y4     1 est.std.all  0.002 -0.002  0.004
275  f3 =~  y5     1 est.std.all -0.019 -0.023  0.004
276  f3 =~  y6     1 est.std.all  0.035  0.030  0.005
277  f3 =~  y7     1 est.std.all  0.734  0.734  0.000
278  f3 =~  y8     1 est.std.all  0.726  0.727 -0.001
279  f3 =~  y9     1 est.std.all  0.707  0.707  0.000
280  f3 =~ y10     1 est.std.all -0.010 -0.010  0.000
281  f3 =~ y11     1 est.std.all  0.001  0.001  0.000
282  f3 =~ y12     1 est.std.all  0.008  0.008  0.000
283  f4 =~  y1     1 est.std.all -0.005 -0.021  0.016
284  f4 =~  y2     1 est.std.all  0.062  0.041  0.021
285  f4 =~  y3     1 est.std.all -0.012 -0.028  0.016
286  f4 =~  y4     1 est.std.all -0.016 -0.018  0.002
287  f4 =~  y5     1 est.std.all  0.018  0.017  0.001
288  f4 =~  y6     1 est.std.all -0.010 -0.012  0.002
289  f4 =~  y7     1 est.std.all  0.019  0.018  0.001
290  f4 =~  y8     1 est.std.all -0.016 -0.016  0.000
291  f4 =~  y9     1 est.std.all  0.001 -0.001  0.002
292  f4 =~ y10     1 est.std.all  0.691  0.692 -0.001
293  f4 =~ y11     1 est.std.all  0.791  0.791  0.000
294  f4 =~ y12     1 est.std.all  0.659  0.658  0.001
295  y1 ~~  y1     1 est.std.all  0.588  0.588  0.000
296  y2 ~~  y2     1 est.std.all  0.346  0.346  0.000
297  y3 ~~  y3     1 est.std.all  0.594  0.594  0.000
298  y4 ~~  y4     1 est.std.all  0.581  0.581  0.000
299  y5 ~~  y5     1 est.std.all  0.424  0.424  0.000
300  y6 ~~  y6     1 est.std.all  0.543  0.543  0.000
301  y7 ~~  y7     1 est.std.all  0.462  0.462  0.000
302  y8 ~~  y8     1 est.std.all  0.470  0.470  0.000
303  y9 ~~  y9     1 est.std.all  0.498  0.498  0.000
304 y10 ~~ y10     1 est.std.all  0.520  0.520  0.000
305 y11 ~~ y11     1 est.std.all  0.376  0.376  0.000
306 y12 ~~ y12     1 est.std.all  0.559  0.559  0.000
307  f1 ~~  f1     1 est.std.all  1.000  1.000  0.000
308  f2 ~~  f2     1 est.std.all  1.000  1.000  0.000
309  f3 ~~  f3     1 est.std.all  1.000  1.000  0.000
310  f4 ~~  f4     1 est.std.all  1.000  1.000  0.000
311  f1 ~~  f2     1 est.std.all -0.024 -0.039  0.015
312  f1 ~~  f3     1 est.std.all -0.009  0.007 -0.016
313  f1 ~~  f4     1 est.std.all -0.022 -0.002 -0.020
314  f2 ~~  f3     1 est.std.all  0.023  0.029 -0.006
315  f2 ~~  f4     1 est.std.all -0.120 -0.121  0.001
316  f3 ~~  f4     1 est.std.all -0.029 -0.028 -0.001
317  y1 ~1         1 est.std.all  0.008  0.008  0.000
318  y2 ~1         1 est.std.all  0.033  0.033  0.000
319  y3 ~1         1 est.std.all  0.003  0.003  0.000
320  y4 ~1         1 est.std.all  0.073  0.073  0.000
321  y5 ~1         1 est.std.all  0.064  0.064  0.000
322  y6 ~1         1 est.std.all  0.060  0.060  0.000
323  y7 ~1         1 est.std.all -0.003 -0.003  0.000
324  y8 ~1         1 est.std.all  0.009  0.009  0.000
325  y9 ~1         1 est.std.all  0.021  0.021  0.000
326 y10 ~1         1 est.std.all -0.034 -0.034  0.000
327 y11 ~1         1 est.std.all  0.002  0.002  0.000
328 y12 ~1         1 est.std.all -0.002 -0.002  0.000
329  f1 =~  y1     1 est.std.nox  0.637  0.637  0.000
330  f1 =~  y2     1 est.std.nox  0.808  0.808  0.000
331  f1 =~  y3     1 est.std.nox  0.631  0.631  0.000
332  f1 =~  y4     1 est.std.nox  0.025  0.027 -0.002
333  f1 =~  y5     1 est.std.nox -0.031 -0.029 -0.002
334  f1 =~  y6     1 est.std.nox  0.009  0.010 -0.001
335  f1 =~  y7     1 est.std.nox  0.000 -0.006  0.006
336  f1 =~  y8     1 est.std.nox -0.034 -0.040  0.006
337  f1 =~  y9     1 est.std.nox  0.054  0.049  0.005
338  f1 =~ y10     1 est.std.nox -0.041 -0.037 -0.004
339  f1 =~ y11     1 est.std.nox -0.001  0.004 -0.005
340  f1 =~ y12     1 est.std.nox  0.031  0.035 -0.004
