# lavaan TESTsuite -- lavaan version  0.6-17 
# date:  Sat Jan 20 20:51:56 2024 
# file:  ex5.14.out 

    lhs op rhs group        type   lav   mpl delta
29     rmsea.notclose.h0     0.080        NA     NA
30                   rmr     0.041        NA     NA
31            rmr_nomean     0.041        NA     NA
32                  srmr     0.012     0.013 -0.001
33          srmr_bentler     0.012        NA     NA
34   srmr_bentler_nomean     0.012        NA     NA
35                  crmr     0.009        NA     NA
36           crmr_nomean     0.009        NA     NA
37            srmr_mplus     0.010        NA     NA
38     srmr_mplus_nomean     0.010        NA     NA
39                 cn_05  1564.057        NA     NA
40                 cn_01  1779.020        NA     NA
41                   gfi     0.997        NA     NA
42                  agfi     0.993        NA     NA
43                  pgfi     0.476        NA     NA
44                   mfi     1.001        NA     NA
45                  ecvi     0.102        NA     NA
